CMDLINE ns-train l3gs
MEM 694.601562 1704770329.1452
MEM 694.601562 1704770329.2457
MEM 694.859375 1704770329.3461
MEM 695.375000 1704770329.4464
MEM 695.890625 1704770329.5468
MEM 696.664062 1704770329.6470
MEM 697.437500 1704770329.7475
MEM 698.210938 1704770329.8479
MEM 698.984375 1704770329.9483
MEM 699.500000 1704770330.0486
MEM 700.273438 1704770330.1490
MEM 701.046875 1704770330.2493
MEM 701.820312 1704770330.3497
MEM 702.335938 1704770330.4500
MEM 703.109375 1704770330.5503
MEM 703.882812 1704770330.6506
MEM 704.398438 1704770330.7511
MEM 705.171875 1704770330.8514
MEM 705.945312 1704770330.9518
MEM 706.718750 1704770331.0522
MEM 707.234375 1704770331.1525
MEM 708.007812 1704770331.2528
MEM 708.523438 1704770331.3532
MEM 709.296875 1704770331.4535
MEM 710.070312 1704770331.5538
MEM 710.843750 1704770331.6542
MEM 711.847656 1704770331.7546
MEM 1368.457031 1704770331.8552
MEM 2844.433594 1704770331.9557
MEM 4251.832031 1704770332.0562
MEM 5362.230469 1704770332.1565
MEM 6759.167969 1704770332.2570
MEM 8222.769531 1704770332.3576
MEM 9683.019531 1704770332.4581
MEM 10789.808594 1704770332.5584
MEM 10856.121094 1704770332.6588
MEM 10911.035156 1704770332.7593
MEM 10966.722656 1704770332.8598
MEM 11022.410156 1704770332.9602
MEM 11076.550781 1704770333.0606
MEM 11126.566406 1704770333.1611
MEM 11184.027344 1704770333.2615
MEM 11233.527344 1704770333.3619
MEM 11283.281250 1704770333.4623
MEM 11339.484375 1704770333.5629
MEM 11376.867188 1704770333.6633
MEM 11376.867188 1704770333.7638
MEM 11376.867188 1704770333.8642
MEM 11376.867188 1704770333.9646
MEM 11230.140625 1704770334.0652
MEM 11230.343750 1704770334.1655
MEM 11230.847656 1704770334.2657
MEM 11231.023438 1704770334.3660
MEM 11423.054688 1704770334.4663
MEM 11612.546875 1704770334.5667
MEM 11758.726562 1704770334.6673
MEM 11247.335938 1704770334.7678
MEM 11321.722656 1704770334.8681
MEM 11239.566406 1704770334.9684
MEM 11335.058594 1704770335.0688
MEM 11402.910156 1704770335.1692
MEM 11425.082031 1704770335.2695
MEM 11476.386719 1704770335.3698
MEM 11527.691406 1704770335.4701
MEM 11579.511719 1704770335.5704
MEM 11631.332031 1704770335.6707
MEM 11685.214844 1704770335.7710
MEM 11748.636719 1704770335.8713
MEM 11766.941406 1704770335.9717
MEM 11788.855469 1704770336.0722
MEM 11836.550781 1704770336.1726
MEM 11844.027344 1704770336.2730
MEM 11844.027344 1704770336.3735
MEM 11844.027344 1704770336.4738
MEM 11844.027344 1704770336.5741
MEM 11848.152344 1704770336.6744
MEM 11955.917969 1704770336.7748
MEM 12108.800781 1704770336.8753
MEM 12256.785156 1704770336.9759
MEM 11854.410156 1704770337.0763
MEM 11862.699219 1704770337.1767
MEM 11936.101562 1704770337.2772
MEM 11866.765625 1704770337.3776
MEM 11866.765625 1704770337.4780
MEM 11897.464844 1704770337.5783
MEM 11932.269531 1704770337.6786
MEM 11967.332031 1704770337.7790
MEM 11986.410156 1704770337.8793
MEM 12025.597656 1704770337.9796
MEM 12064.269531 1704770338.0799
MEM 12126.144531 1704770338.1804
MEM 12160.691406 1704770338.2807
MEM 12160.949219 1704770338.3810
MEM 12160.949219 1704770338.4813
MEM 12165.074219 1704770338.5816
MEM 12165.074219 1704770338.6821
MEM 12165.074219 1704770338.7824
MEM 12165.074219 1704770338.8826
MEM 12168.167969 1704770338.9829
MEM 12168.167969 1704770339.0832
MEM 12321.050781 1704770339.1835
MEM 12473.933594 1704770339.2838
MEM 12550.761719 1704770339.3844
MEM 12180.050781 1704770339.4847
MEM 12086.503906 1704770339.5850
MEM 12128.207031 1704770339.6853
MEM 12176.417969 1704770339.7856
MEM 12224.886719 1704770339.8859
MEM 12273.613281 1704770339.9864
MEM 12321.050781 1704770340.0868
MEM 12445.023438 1704770340.1871
MEM 12153.539062 1704770340.2874
MEM 12139.542969 1704770340.3877
MEM 12139.542969 1704770340.4879
MEM 12139.542969 1704770340.5882
MEM 12139.542969 1704770340.6885
MEM 12139.542969 1704770340.7888
MEM 12139.800781 1704770340.8892
MEM 12139.800781 1704770340.9895
MEM 12139.800781 1704770341.0899
MEM 12139.800781 1704770341.1902
MEM 12139.800781 1704770341.2905
MEM 12139.929688 1704770341.3909
MEM 12142.769531 1704770341.4911
MEM 12188.660156 1704770341.5914
MEM 12233.003906 1704770341.6918
MEM 12264.457031 1704770341.7920
MEM 12311.378906 1704770341.8925
MEM 12358.558594 1704770341.9930
MEM 12406.253906 1704770342.0934
MEM 12452.917969 1704770342.1938
MEM 12499.839844 1704770342.2942
MEM 12546.761719 1704770342.3947
MEM 12593.167969 1704770342.4951
MEM 12639.832031 1704770342.5955
MEM 12686.496094 1704770342.6959
MEM 12733.417969 1704770342.7963
MEM 12780.339844 1704770342.8968
MEM 12825.714844 1704770342.9974
MEM 12869.542969 1704770343.0978
MEM 12913.628906 1704770343.1983
MEM 12960.292969 1704770343.2989
MEM 13006.957031 1704770343.3994
MEM 13053.878906 1704770343.4998
MEM 13100.800781 1704770343.6003
MEM 13148.753906 1704770343.7008
MEM 13166.054688 1704770343.8014
MEM 13166.054688 1704770343.9018
MEM 13166.054688 1704770344.0023
MEM 13166.054688 1704770344.1027
MEM 13166.054688 1704770344.2030
MEM 13166.054688 1704770344.3034
MEM 13166.054688 1704770344.4037
MEM 13166.054688 1704770344.5041
MEM 13166.054688 1704770344.6048
MEM 13166.054688 1704770344.7051
MEM 13166.054688 1704770344.8055
MEM 13166.054688 1704770344.9061
MEM 13166.054688 1704770345.0064
MEM 13166.054688 1704770345.1069
MEM 13166.054688 1704770345.2072
MEM 13166.054688 1704770345.3076
MEM 13166.054688 1704770345.4079
MEM 13166.054688 1704770345.5083
MEM 13166.054688 1704770345.6087
MEM 13166.054688 1704770345.7092
MEM 13166.054688 1704770345.8098
MEM 13166.054688 1704770345.9102
MEM 13166.054688 1704770346.0106
