CMDLINE ns-train l3gs
MEM 0.007812 1704770559.1941
MEM 18.949219 1704770559.3073
MEM 96.062500 1704770559.4155
MEM 146.757812 1704770559.5245
MEM 163.660156 1704770559.6355
MEM 179.117188 1704770559.7475
MEM 212.417969 1704770559.8568
MEM 218.398438 1704770559.9662
MEM 232.839844 1704770560.0840
MEM 241.664062 1704770560.2041
MEM 253.714844 1704770560.3252
MEM 268.753906 1704770560.4468
MEM 280.078125 1704770560.5764
MEM 290.851562 1704770560.6978
MEM 298.757812 1704770560.8195
MEM 308.671875 1704770560.9409
MEM 321.234375 1704770561.0621
MEM 323.554688 1704770561.1897
MEM 323.812500 1704770561.3104
MEM 324.070312 1704770561.4305
MEM 324.328125 1704770561.5391
MEM 324.328125 1704770561.6609
MEM 325.449219 1704770561.7823
MEM 332.796875 1704770561.8995
MEM 345.500000 1704770562.0080
MEM 347.601562 1704770562.1165
MEM 360.320312 1704770562.2375
MEM 367.320312 1704770562.3463
MEM 374.894531 1704770562.4676
MEM 376.957031 1704770562.5888
MEM 378.871094 1704770562.7099
MEM 390.070312 1704770562.8312
MEM 401.019531 1704770562.9419
MEM 405.648438 1704770563.0508
MEM 408.468750 1704770563.1721
MEM 435.238281 1704770563.2934
MEM 445.191406 1704770563.4146
MEM 455.355469 1704770563.5359
MEM 485.296875 1704770563.6575
MEM 489.046875 1704770563.7790
MEM 489.949219 1704770563.9002
MEM 491.367188 1704770564.0210
MEM 492.511719 1704770564.1421
MEM 499.542969 1704770564.2636
MEM 506.035156 1704770564.3854
MEM 512.140625 1704770564.5068
MEM 523.949219 1704770564.6284
MEM 541.789062 1704770564.7499
MEM 549.656250 1704770564.8713
MEM 554.832031 1704770564.9924
MEM 562.222656 1704770565.1138
MEM 564.835938 1704770565.2351
MEM 573.714844 1704770565.3482
MEM 586.660156 1704770565.4569
MEM 591.078125 1704770565.5742
MEM 591.308594 1704770565.6857
MEM 592.039062 1704770565.8057
MEM 600.457031 1704770565.9271
MEM 627.839844 1704770566.0485
MEM 654.519531 1704770566.1703
MEM 659.492188 1704770566.2918
MEM 661.304688 1704770566.4129
MEM 662.515625 1704770566.5341
MEM 664.304688 1704770566.6473
MEM 666.097656 1704770566.7559
MEM 667.902344 1704770566.8770
MEM 669.699219 1704770566.9979
MEM 670.214844 1704770567.1196
MEM 670.398438 1704770567.2409
MEM 672.460938 1704770567.3618
MEM 674.007812 1704770567.4826
MEM 675.554688 1704770567.5997
MEM 676.578125 1704770567.7212
MEM 677.093750 1704770567.8420
MEM 677.867188 1704770567.9626
MEM 678.640625 1704770568.0836
MEM 679.156250 1704770568.2047
MEM 679.929688 1704770568.3254
MEM 680.960938 1704770568.4464
MEM 681.476562 1704770568.5675
MEM 682.507812 1704770568.6888
MEM 683.539062 1704770568.8100
MEM 684.570312 1704770568.9315
MEM 685.343750 1704770569.0525
MEM 686.375000 1704770569.1738
MEM 687.148438 1704770569.2945
MEM 687.921875 1704770569.4155
MEM 688.695312 1704770569.5370
MEM 689.468750 1704770569.6587
MEM 690.242188 1704770569.7839
MEM 691.015625 1704770569.9051
MEM 692.046875 1704770570.0262
MEM 692.820312 1704770570.1479
MEM 693.335938 1704770570.2698
MEM 693.335938 1704770570.3916
MEM 693.593750 1704770570.5130
MEM 694.625000 1704770570.6344
MEM 695.398438 1704770570.7555
MEM 696.429688 1704770570.8764
MEM 697.460938 1704770570.9974
MEM 698.234375 1704770571.1184
MEM 699.265625 1704770571.2392
MEM 700.039062 1704770571.3603
MEM 700.812500 1704770571.4811
MEM 701.843750 1704770571.6026
MEM 702.617188 1704770571.7238
MEM 703.390625 1704770571.8342
MEM 704.164062 1704770571.9453
MEM 705.195312 1704770572.0560
MEM 705.710938 1704770572.1773
MEM 706.742188 1704770572.2900
MEM 707.515625 1704770572.4008
MEM 708.289062 1704770572.5100
MEM 709.062500 1704770572.6311
MEM 710.351562 1704770572.7560
MEM 1053.550781 1704770572.8858
MEM 2873.707031 1704770573.0027
MEM 4675.042969 1704770573.1197
MEM 5822.667969 1704770573.2366
MEM 7503.089844 1704770573.3537
MEM 9304.425781 1704770573.4678
MEM 10675.214844 1704770573.5827
MEM 10871.363281 1704770573.6946
MEM 10942.777344 1704770573.8057
MEM 11011.097656 1704770573.9164
MEM 11081.996094 1704770574.0270
MEM 11154.394531 1704770574.1358
MEM 11230.449219 1704770574.2454
MEM 11279.171875 1704770574.3703
MEM 11355.226562 1704770574.4921
MEM 11385.390625 1704770574.6076
MEM 11385.390625 1704770574.7165
MEM 11385.390625 1704770574.8288
MEM 11225.640625 1704770574.9377
MEM 11226.621094 1704770575.0465
MEM 11335.644531 1704770575.1587
