CMDLINE ns-train l3gs
MEM 0.007812 1704770585.2653
MEM 18.839844 1704770585.3736
MEM 136.539062 1704770585.4824
MEM 164.882812 1704770585.5913
MEM 186.476562 1704770585.7007
MEM 234.519531 1704770585.8093
MEM 242.367188 1704770585.9178
MEM 253.933594 1704770586.0278
MEM 266.878906 1704770586.1391
MEM 278.742188 1704770586.2478
MEM 288.539062 1704770586.3564
MEM 298.109375 1704770586.4651
MEM 304.003906 1704770586.5861
MEM 316.031250 1704770586.6951
MEM 323.945312 1704770586.8086
MEM 324.718750 1704770586.9203
MEM 324.718750 1704770587.0287
MEM 324.976562 1704770587.1372
MEM 325.234375 1704770587.2457
MEM 325.234375 1704770587.3541
MEM 325.234375 1704770587.4622
MEM 328.593750 1704770587.5701
MEM 344.046875 1704770587.6913
MEM 348.531250 1704770587.7998
MEM 361.886719 1704770587.9154
MEM 369.500000 1704770588.0239
MEM 375.777344 1704770588.1371
MEM 377.839844 1704770588.2550
MEM 379.570312 1704770588.3635
MEM 389.488281 1704770588.4749
MEM 400.121094 1704770588.5834
MEM 406.566406 1704770588.6978
MEM 408.886719 1704770588.8191
MEM 432.085938 1704770588.9277
MEM 446.179688 1704770589.0427
MEM 455.757812 1704770589.1607
MEM 489.269531 1704770589.2693
MEM 490.808594 1704770589.3820
MEM 491.425781 1704770589.4903
MEM 492.816406 1704770589.5990
MEM 494.085938 1704770589.7123
MEM 501.242188 1704770589.8206
MEM 506.683594 1704770589.9344
MEM 513.097656 1704770590.0515
MEM 526.363281 1704770590.1600
MEM 543.921875 1704770590.2719
MEM 550.339844 1704770590.3805
MEM 554.714844 1704770590.4942
MEM 562.878906 1704770590.6118
MEM 564.730469 1704770590.7204
MEM 571.382812 1704770590.8346
MEM 574.476562 1704770590.9524
MEM 591.453125 1704770591.0662
MEM 591.960938 1704770591.1840
MEM 591.960938 1704770591.2958
MEM 596.921875 1704770591.4155
MEM 620.707031 1704770591.5368
MEM 652.421875 1704770591.6582
MEM 659.902344 1704770591.7797
MEM 661.351562 1704770591.9011
MEM 663.085938 1704770592.0225
MEM 664.886719 1704770592.1333
MEM 666.679688 1704770592.2487
MEM 668.484375 1704770592.3572
MEM 670.027344 1704770592.4706
MEM 670.800781 1704770592.5878
MEM 670.984375 1704770592.6968
MEM 672.015625 1704770592.8108
MEM 673.820312 1704770592.9190
MEM 675.367188 1704770593.0274
MEM 676.734375 1704770593.1354
MEM 677.421875 1704770593.2563
MEM 677.937500 1704770593.3699
MEM 678.453125 1704770593.4872
MEM 679.226562 1704770593.5951
MEM 679.742188 1704770593.7095
MEM 680.515625 1704770593.8179
MEM 681.289062 1704770593.9306
MEM 682.062500 1704770594.0477
MEM 682.835938 1704770594.1558
MEM 683.609375 1704770594.2703
MEM 684.640625 1704770594.3787
MEM 685.156250 1704770594.4909
MEM 685.929688 1704770594.6082
MEM 686.703125 1704770594.7168
MEM 687.476562 1704770594.8259
MEM 688.250000 1704770594.9467
MEM 689.281250 1704770595.0673
MEM 690.054688 1704770595.1888
MEM 690.828125 1704770595.3095
MEM 691.859375 1704770595.4306
MEM 692.632812 1704770595.5388
MEM 693.406250 1704770595.6532
MEM 693.921875 1704770595.7618
MEM 693.921875 1704770595.8756
MEM 694.179688 1704770595.9907
MEM 694.695312 1704770596.0992
MEM 695.468750 1704770596.2145
MEM 696.500000 1704770596.3325
MEM 697.531250 1704770596.4405
MEM 698.304688 1704770596.5490
MEM 699.078125 1704770596.6612
MEM 699.851562 1704770596.7787
MEM 700.625000 1704770596.8868
MEM 701.398438 1704770597.0007
MEM 702.171875 1704770597.1089
MEM 702.945312 1704770597.2222
MEM 703.976562 1704770597.3395
MEM 704.750000 1704770597.4474
MEM 705.523438 1704770597.5616
MEM 706.296875 1704770597.6826
